Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
FactionDef&APM_DomainPlayerFaction.label	Mechanitor's Domain							机械师领域				Владения механитора	Володіння механітора		機械師領域														
FactionDef&APM_DomainPlayerFaction.description	An ancient mechanitor's domain hiding a master's treasures.							一位远古机械师的领地，藏有主人的珍宝。				Владения древнего механитора, скрывающие сокровища мастера.	Володіння давнього механітора, що приховують скарби майстра.		一位遠古機械師的領地，藏有主人的珍寶。														
StatDef&APM_GestationFactor.label	mech gestation speed factor							机械体培育速度系数				коэффициент скорости гестации	коефіцієнт швидкості гестації		機械體培育速度係數														
StatDef&APM_GestationFactor.description	Mech gestation speed is multiplied by this value.							机甲孵化速度按此数值相乘。				Скорость выращивания механоидов умножается на это значение.	Швидкість вирощування механоїдів множиться на це значення.		機甲孵化速度按此數值相乘。														
StatDef&APM_CasketBandwidth.label	mech command casket bandwidth							机械指挥舱带宽				пропускная способность командного саркофага	пропускна здатність командної капсули		機械指揮艙頻寬														
StatDef&APM_CasketBandwidth.description	A mechanitor bandwidth is increased by this value while inside a mech command casket.							当机械师身处机械指挥舱内时，其带宽按此数值提升。				пропускная способность механитора увеличивается пока он находится внутри командного саркофага	Пропускна здатність механітора збільшується на це значення, доки він перебуває всередині командної капсули меха.		當機械師身處機械指揮艙內時，其頻寬按此數值提升。														
IncidentDef&APM_IncidentDef_TrioBoss.label	Three Lords							三领主				Три Владыки	Три Володарі		三領主														
ThingDef&APM_MechbandAntenna_Dominus.label	Mechband Node							机械频带节点				Узел мех-связи	механоїдний вузол		機械頻帶節點														
ThingDef&APM_MechbandAntenna_Dominus.description	A mech-band signaling device more powerful than the mechband array. When activated, it puts out an apex level mech signal pulse, which will attract a mechanoid commander to attack with its escorts. If you defeat it, you can collect special technology from its corpse. The signal pulse burns out the dish, so this building can only be used once.							一台比机械频带阵列更强大的机械频带信号装置。启动后，它会发出一道巅峰级机械信号脉冲，引来一名机械体指挥官及其随从发起攻击。若你能击败它，便可从其残骸中收集特殊技术。信号脉冲会烧毁天线，因此这座建筑只能使用一次。				Одноразовое сигнальное устройство. При активации отправляет импульс на частоте механоидов и вызывает босса Доминуса.	Сигнальний пристрій механоїдної мережі, потужніший за механоїдний масив. Під час активації випромінює сигнальний імпульс найвищого рівня, що привертає механоїда-командира з його охороною. Якщо ви його переможете, з тіла можна зібрати особливі технології. Сигнальний імпульс спалює антену, тож споруду можна використати лише один раз.		一台比機械頻帶陣列更強大的機械頻帶訊號裝置。啟動後，它會發出一道巔峰級機械訊號脈衝，引來一名機械體指揮官及其隨從發起攻擊。若你能擊敗它，便可從其殘骸中收集特殊技術。訊號脈衝會燒毀天線，因此這座建築只能使用一次。														
ThingDef&APM_MechbandAntenna_Terminus.label	Mechband Conduit							机械频带导管				Канал мех-связи	механоїдний канал		機械頻帶導管														
ThingDef&APM_MechbandAntenna_Terminus.description	A mech-band signaling device more powerful than the mechband array. When activated, it puts out an apex level mech signal pulse, which will attract a mechanoid commander to attack with its escorts. If you defeat it, you can collect special technology from its corpse. The signal pulse burns out the dish, so this building can only be used once.							一台比机械频带阵列更强大的机械频带信号装置。启动后，它会发出一道巅峰级机械信号脉冲，引来一名机械体指挥官及其随从发起攻击。若你能击败它，便可从其残骸中收集特殊技术。信号脉冲会烧毁天线，因此这座建筑只能使用一次。				Одноразовое сигнальное устройство. При активации отправляет импульс на частоте механоидов и вызывает босса Терминуса.	Сигнальний пристрій механоїдної мережі, потужніший за механоїдний масив. Під час активації випромінює сигнальний імпульс найвищого рівня, що привертає механоїда-командира з його охороною. Якщо ви його переможете, з тіла можна зібрати особливі технології. Сигнальний імпульс спалює антену, тож споруду можна використати лише один раз.		一台比機械頻帶陣列更強大的機械頻帶訊號裝置。啟動後，它會發出一道巔峰級機械訊號脈衝，引來一名機械體指揮官及其隨從發起攻擊。若你能擊敗它，便可從其殘骸中收集特殊技術。訊號脈衝會燒毀天線，因此這座建築只能使用一次。														
ThingDef&APM_MechbandAntenna_Celerus.label	Mechband Pylon							机械频带塔				Пилон мех-связи	механоїдний пілон		機械頻帶塔														
ThingDef&APM_MechbandAntenna_Celerus.description	A mech-band signaling device more powerful than the mechband node. When activated, it puts out an apex level mech signal pulse, which will attract a mechanoid commander to attack with its escorts. If you defeat it, you can collect special technology from its corpse. The signal pulse burns out the dish, so this building can only be used once.							一台比机械频带节点更强大的机械频带信号装置。启动后，它会发出一道巅峰级机械信号脉冲，引来一名机械体指挥官及其随从发起攻击。若你能击败它，便可从其残骸中收集特殊技术。信号脉冲会烧毁天线，因此这座建筑只能使用一次。				Одноразовое сигнальное устройство. При активации отправляет импульс на частоте механоидов и вызывает босса Целеруса.	Сигнальний пристрій механоїдної мережі, потужніший за механоїдний вузол. Під час активації випромінює сигнальний імпульс найвищого рівня, що привертає механоїда-командира з його охороною. Якщо ви його переможете, з тіла можна зібрати особливі технології. Сигнальний імпульс спалює антену, тож споруду можна використати лише один раз.		一台比機械頻帶節點更強大的機械頻帶訊號裝置。啟動後，它會發出一道巔峰級機械訊號脈衝，引來一名機械體指揮官及其隨從發起攻擊。若你能擊敗它，便可從其殘骸中收集特殊技術。訊號脈衝會燒毀天線，因此這座建築只能使用一次。														
ThingDef&APM_MechbandAntenna_Gazer.label	Mechband Array							机械频带阵列				Массив мех-связи	механоїдний масив		機械頻帶陣列														
ThingDef&APM_MechbandAntenna_Gazer.description	A mech-band signaling device more powerful than the mechband node. When activated, it puts out an apex level mech signal pulse, which will attract a mechanoid commander to attack with its escorts. If you defeat it, you can collect special technology from its corpse. The signal pulse burns out the dish, so this building can only be used once.							一台比机械频带节点更强大的机械频带信号装置。启动后，它会发出一道巅峰级机械信号脉冲，引来一名机械体指挥官及其随从发起攻击。若你能击败它，便可从其残骸中收集特殊技术。信号脉冲会烧毁天线，因此这座建筑只能使用一次。				Одноразовый направленный излучатель. При активации вызывает угрозу в лице босса Созерцателя.	Сигнальний пристрій механоїдної мережі, потужніший за механоїдний вузол. Під час активації випромінює сигнальний імпульс найвищого рівня, що привертає механоїда-командира з його охороною. Якщо ви його переможете, з тіла можна зібрати особливі технології. Сигнальний імпульс спалює антену, тож споруду можна використати лише один раз.		一台比機械頻帶節點更強大的機械頻帶訊號裝置。啟動後，它會發出一道巔峰級機械訊號脈衝，引來一名機械體指揮官及其隨從發起攻擊。若你能擊敗它，便可從其殘骸中收集特殊技術。訊號脈衝會燒毀天線，因此這座建築只能使用一次。														
ThingDef&APM_MechbandAntenna_United.label	Mechband Invoker							机械频带召唤器				Вызыватель мех-связи	механічний закликач		機械頻帶召喚器														
ThingDef&APM_MechbandAntenna_United.description	A mech-band signaling device more powerful than the mechband array. When activated, it puts out an 3-fold apex level mech signal pulse, which will attract a mechanoid commander to attack with its escorts. If you defeat it, you can collect special technology from its corpse. The signal pulse burns out the dish, so this building can only be used once. This particular mechband device sends out 3 simultaneous signals, be warned.							一台比机械频带阵列更强大的机械频带信号装置。启动后，它会发出一道三重巅峰级机械信号脉冲，引来一名机械体指挥官及其随从发起攻击。若你能击败它，便可从其残骸中收集特殊技术。信号脉冲会烧毁天线，因此这座建筑只能使用一次。这台机械频带装置会同时发出三道信号——小心为上。				Мощный 3x3 транслятор высокого порядка. Отправляет три одновременных сигнала, призывая угрозу Трех Владык.	Сигнальний пристрій механоїдної мережі, потужніший за механоїдний вузол. Під час активації він випромінює потрійний сигнальний імпульс вершинного рівня, що привертає механоїдного командира з почтом. Якщо ви його здолаєте, то зможете зібрати особливі технології з його решток. Сигнальний імпульс спалює антену, тож цю споруду можна використати лише раз. Цей пристрій випромінює три одночасні сигнали — будьте напоготові.		一台比機械頻帶陣列更強大的機械頻帶訊號裝置。啟動後，它會發出一道三重巔峰級機械訊號脈衝，引來一名機械體指揮官及其隨從發起攻擊。若你能擊敗它，便可從其殘骸中收集特殊技術。訊號脈衝會燒毀天線，因此這座建築只能使用一次。這台機械頻帶裝置會同時發出三道訊號——小心為上。														
ThingDef&APM_Building_ToxicPurifier.label	purifier station							净化站				Очистительная станция	станція очищення		淨化站														
ThingDef&APM_Building_ToxicPurifier.description	The pollution reclaimer is an imperfect solution to a disastrous problem. It cleans pollution from a large area around it in addition to vaporizing toxic wastepacks. Its function is imperfect due to the drastic rate it runs at and It has a constant chance to cause several severe ecological events such as the following: Releasing toxic waste into the air, causing a toxic downpour, generating a toxic smog in the local area up to several world tiles around where it is placed and spoiling relations over time with local neighboring factions. While it works well, ecologists and mechanitors alike still argue whether the side effects are worth the hassle.							污染回收装置是应对一场灾难性问题的不完美方案。它除了汽化有毒废料包之外，还能清除周围大片区域的污染。由于运转强度极为剧烈，它的功能并不完美，且始终有一定概率引发若干严重的生态事件，例如：将有毒废料直接排入空中并引发毒雨；在其所在地周围数个世界地块范围内生成毒雾；以及随时间推移恶化与邻近派系的关系。虽然它工作得不错，生态学家与机械师们仍在争论这些副作用是否值得如此麻烦。				Высокопроизводительная установка для очистки местности от загрязнения и утилизации упаковщиков токсичных отходов. Потребляет огромное количество энергии и может спровоцировать ухудшение отношений с фракциями или токсичный осмок.	Ця споруда для відновлення від забруднення є недосконалим розв'язанням катастрофічної проблеми. Вона очищає забруднення на великій території навколо себе, а також випаровує токсичні відходи. Її робота вважається недосконалою через надмірно високу інтенсивність, з якою вона функціонує. Таким чином, робота пов'язана з постійним ризиком спричинити низку серйозних екологічних подій, а саме: викид токсичних відходів просто в небо з наступними токсичними опадами, утворення токсичного смогу на карті світу в радіусі кількох клітинок навколо місця встановлення, а також поступове погіршення стосунків із сусідніми фракціями. Попри те, що пристрій непогано справляється зі своїм завданням, екологи й механітери досі сперечаються, чи варті побічні ефекти таких клопотів.		污染回收裝置是應對一場災難性問題的不完美方案。它除了汽化有毒廢料包之外，還能清除周圍大片區域的污染。由於運轉強度極為劇烈，它的功能並不完美，且始終有一定機率引發若干嚴重的生態事件，例如：將有毒廢料直接排入空中並引發毒雨；在其所在地周圍數個世界地塊範圍內生成毒霧；以及隨時間推移惡化與鄰近派系的關係。雖然它工作得不錯，生態學家與機械師們仍在爭論這些副作用是否值得如此麻煩。														
GameConditionDef&APM_Toxicity.label	toxicity level							毒性等级				уровень загрязнения	рівень забруднення		毒性等級														
GameConditionDef&APM_Toxicity.description	toxic level in local atmosphere.							本地大气中的毒性水平。				Уровень загрязнения атмосферы в данной локации.	Рівень забруднення повітря на цій карті.		本地大氣中的毒性水準。														
ThingDef&APM_DynamoPoweredGenerator.label	Dynamo powered generator							迪纳摩动力发电机				Динамо-генератор	динамо-генератор		迪納摩動力發電機														
ThingDef&APM_DynamoPoweredGenerator.description	Produces power by consuming uranium. Must be periodically refueled by hand.							通过消耗铀来发电。需要定期手动补充燃料。				Высокоэффективный генератор на урановом топливе. Обеспечивает непрерывную электроэнергию, выделяя умеренное количество тепла.	Виробляє енергію, споживаючи хімпаливо. Час від часу потрібно заправляти вручну.		透過消耗鈾來發電。需要定期手動補充燃料。														
ThingDef&APM_GazerEmplacement.label	gazer emplacement							凝视者炮台				Орудийная установка «Гейзер»	вогнева позиція Спостерігача		凝視者砲臺														
ThingDef&APM_GazerEmplacement.description	A reinforced fixed laser emplacement built around a salvaged Gazer ocular emitter. It cannot traverse after deployment. When manually aimed within its frontal firing arc, it releases the same devastating Sun Ray beam used by a Gazer and burns through everything caught in its path, at an extreme power cost.							一座围绕回收而来的凝视者视觉发射器建造的加固式固定激光炮位，部署后无法转动。在其正面射界内手动瞄准时，它会释放出与凝视者所用相同的毁灭性「太阳光线」，烧穿路径上的一切，代价是极高的能量消耗。				Тяжёлая стационарная лазерная турель с ограниченным фронтальным сектором обстрела, потребляющая большое количество энергии при стрельбе.	Укріплена нерухома лазерна вогнева точка, збудована навколо відновленої очної лазерної установки Спостерігача. Після встановлення не може переміщатися. За ручного наведення в межах свого сектора стрільби здатна випускати руйнівний «Сонячний промінь», як у Спостерігача, випалюючи все на своєму шляху ціною величезних витрат енергії.		一座圍繞回收而來的凝視者視覺發射器建造的加固式固定雷射炮位，部署後無法轉動。在其正面射界內手動瞄準時，它會釋放出與凝視者所用相同的毀滅性「太陽光線」，燒穿路徑上的一切，代價是極高的能量消耗。														
ThingDef&APM_MechCommandCasket.label	command casket							机械指挥舱				командный саркофаг	командна капсула		機械指揮艙														
ThingDef&APM_MechCommandCasket.description	The pinnacle of mechanitor engineering, a monumental sarcophagus that embodies absolute power and technological majesty. Fusing mechlink and biosculpter technologies, it allows the enclosed user to command their legions from absolute safety. However, its true power lies within: a highly complex replica of a 'Cerebrex' brain is integrated into its core. This allows the casket to pierce atmospheric interference and connect directly to the global mechanoid network in orbit. By hijacking the processing power of these orbital systems, the mechanitor can broadcast their commands over colossal distances, controlling their mechs even when world tiles away.							机械师工程的巅峰之作，一座体现着绝对权力与技术威严的巨型石棺。它融合了机械连接与生物塑形技术，让身处其中的使用者得以在绝对安全之下统率自己的军团。然而它真正的力量藏于内部：一颗高度复杂的「智脑」大脑复制体被集成在其核心之中。这让指挥舱得以穿透大气干扰，直接接入轨道上的全球机械体网络。通过劫持这些轨道系统的运算能力，机械师可以将指令广播到极远之处，即便相隔数个世界地块，也能指挥自己的机甲。				Вершина инженерной мысли механиторов, монументальный саркофаг, воплощающий абсолютную власть и технологическое величие. Объединяя технологии мехлинка и биоскульптора, он позволяет находящемуся внутри оператору командовать своими легионами из абсолютной безопасности. Однако его истинная сила кроется внутри: в ядро встроена сложнейшая копия мозга «Церебрекс». Это позволяет саркофагу преодолевать атмосферные помехи и подключаться напрямую к глобальной сети механоидов на орбите. Перехватывая вычислительную мощность этих орбитальных систем, механитор может транслировать свои приказы на колоссальные расстояния, управляя мехами даже из других точек глобальной карты.	Командна капсула механоїдів — поєднання технологій мехлінка та капсули кріосну, що дозволяє ув'язненому всередині механітерові керувати своїми механоїдами з відносної безпеки капсули. Підсилювач сигналу цієї машини дає змогу механітерові керувати своїми мехами навіть на інших клітинках карти світу.		機械師工程的巔峰之作，一座體現著絕對權力與技術威嚴的巨型石棺。它融合了機械連結與生物塑形技術，讓身處其中的使用者得以在絕對安全之下統率自己的軍團。然而它真正的力量藏於內部：一顆高度複雜的「智腦」大腦複製體被整合在其核心之中。這讓指揮艙得以穿透大氣干擾，直接接入軌道上的全球機械體網絡。透過劫持這些軌道系統的運算能力，機械師可以將指令廣播到極遠之處，即便相隔數個世界地塊，也能指揮自己的機甲。														
ThingDef&APM_CasketBandwidthAmplifier.label	subcore signal booster							子核心信号增强器				усилитель сигнала на субъядрах	підсилювач сигналу суб'ядра		子核心訊號增強器														
ThingDef&APM_CasketBandwidthAmplifier.description	An auxiliary expansion module designed to augment the command casket using the raw processing power of high subcores. By integrating high-tier subcores directly into the casket's auxiliary neural network, this device significantly amplifies the mechanitor's mental output. It expands the available bandwidth limit, allowing the operator to safely control a much larger and more complex legion of mechanoids without overloading their own neurological link.							一个辅助扩展模块，旨在利用高阶副核的原生运算能力来强化指挥舱。通过将高阶副核直接接入指挥舱的辅助神经网络，该装置显著放大机械师的精神输出，扩展可用的带宽上限，使操作者能够安全地指挥规模更大、结构更复杂的机械体军团，而不会过载自身的神经连接。				Вспомогательный модуль расширения, предназначенный для усиления командного саркофага с помощью вычислительной мощности высоких субъядер. Интегрируя высокоуровневые субъядра непосредственно во вспомогательную нейронную сеть саркофага, это устройство значительно увеличивает ментальную пропускную способность механитора. Оно расширяет доступный лимит каналов управления, позволяя оператору безопасно контролировать гораздо более крупный и сложный легион механоидов без перегрузки собственной неврологической связи.	Допоміжний модуль розширення, призначений для підсилення командної капсули за допомогою обчислювальної потужності високих суб'ядер. Інтегруючи суб'ядра високого рівня безпосередньо в допоміжну нейронну мережу капсули, цей пристрій значно підсилює ментальний вихід механітора. Він розширює доступну межу пропускної здатності, дозволяючи оператору безпечно керувати набагато більшим і складнішим легіоном механоїдів без перевантаження власного неврологічного зв'язку.		一個輔助擴充模組，旨在利用高階副核的原生運算能力來強化指揮艙。藉由將高階副核直接接入指揮艙的輔助神經網絡，該裝置顯著放大機械師的精神輸出，擴展可用的頻寬上限，使操作者能夠安全地指揮規模更大、結構更複雜的機械體軍團，而不會過載自身的神經連結。														
HediffDef&APM_MechCommandCasketBoost.label	mech command casket boost							机械指挥舱强化				усиление командного капсулой	посилення командної капсули		機械指揮艙強化														
HediffDef&APM_MechCommandCasketBoost.description	This mechanitors bandwidth is increased while inside the command casket.							当这名机械师身处机械指挥舱内时，其带宽会得到提升。				Пропускная способность этого механитора увеличена, пока он находится внутри командного саркофага.	Пропускна здатність цього механітора збільшена, доки він перебуває всередині командної капсули.		當這名機械師身處機械指揮艙內時，其頻寬會得到提升。														
ThingDef&APM_MechCommandCasket_Ancient.label	command casket							机械指挥舱				командный саркофаг	командна капсула		機械指揮艙														
ThingDef&APM_MechCommandCasket_Ancient.description	The pinnacle of mechanitor engineering, a monumental sarcophagus that embodies absolute power and technological majesty. Fusing mechlink and biosculpter technologies, it allows the enclosed user to command their legions from absolute safety. However, its true power lies within: a highly complex replica of a 'Cerebrex' brain is integrated into its core. This allows the casket to pierce atmospheric interference and connect directly to the global mechanoid network in orbit. By hijacking the processing power of these orbital systems, the mechanitor can broadcast their commands over colossal distances, controlling their mechs even when world tiles away.							机械师工程的巅峰之作，一座体现着绝对权力与技术威严的巨型石棺。它融合了机械连接与生物塑形技术，让身处其中的使用者得以在绝对安全之下统率自己的军团。然而它真正的力量藏于内部：一颗高度复杂的「智脑」大脑复制体被集成在其核心之中。这让指挥舱得以穿透大气干扰，直接接入轨道上的全球机械体网络。通过劫持这些轨道系统的运算能力，机械师可以将指令广播到极远之处，即便相隔数个世界地块，也能指挥自己的机甲。				Вершина инженерной мысли механиторов, монументальный саркофаг, воплощающий абсолютную власть и технологическое величие. Объединяя технологии мехлинка и биоскульптора, он позволяет находящемуся внутри оператору командовать своими легионами из абсолютной безопасности. Однако его истинная сила кроется внутри: в ядро встроена сложнейшая копия мозга «Церебрекс». Это позволяет саркофагу преодолевать атмосферные помехи и подключаться напрямую к глобальной сети механоидов на орбите. Перехватывая вычислительную мощность этих орбитальных систем, механитор может транслировать свои приказы на колоссальные расстояния, управляя мехами даже из других точек глобальной карты.	Вершина інженерії механіторів, монументальний саркофаг, що втілює абсолютну владу й технологічну велич. Поєднуючи технології мехзв'язку та біоскульптора, він дозволяє операторові всередині командувати своїми легіонами з абсолютної безпеки. Однак його справжня сила всередині: у ядро вбудовано надзвичайно складну копію мозку «Церебрекс». Це дозволяє капсулі пробивати атмосферні перешкоди й підключатися безпосередньо до глобальної мережі механоїдів на орбіті. Перехоплюючи обчислювальну потужність цих орбітальних систем, механітор може транслювати свої накази на колосальні відстані, керуючи своїми мехами навіть за кілька клітинок світової карти.		機械師工程的巔峰之作，一座體現著絕對權力與技術威嚴的巨型石棺。它融合了機械連結與生物塑形技術，讓身處其中的使用者得以在絕對安全之下統率自己的軍團。然而它真正的力量藏於內部：一顆高度複雜的「智腦」大腦複製體被整合在其核心之中。這讓指揮艙得以穿透大氣干擾，直接接入軌道上的全球機械體網絡。透過劫持這些軌道系統的運算能力，機械師可以將指令廣播到極遠之處，即便相隔數個世界地塊，也能指揮自己的機甲。														
ThingDef&APM_GestatorAmplifier.label	mech gestator amplifier							机械体培育增幅器				усилитель гестатора мехов	підсилювач гестатора механоїдів		機械體培育增幅器														
ThingDef&APM_GestatorAmplifier.description	Stolen wartime technology from the mechhive led this gestation amplifier’s technology to fall into organic hands. It increases the mech gestation speed of any mech gestators it is placed adjacent to.							从机械巢群窃取的战时技术，使这种孵化加速器的技术落入了有机体之手。将其放置在任意机甲孵化器的相邻位置，即可提升该孵化器的机甲孵化速度。				Украденные у улья механоидов военные технологии позволили этому усилителю инкубации попасть в руки органиков. Он увеличивает скорость создания механоидов в любых инкубаторах, установленных рядом с ним.	Військові технології рою механоїдів було викрадено, і вони потрапили до рук органіків. Це призвело до появи цього підсилювача гестації. Він збільшує швидкість роботи будь-яких гестаторів механоїдів, розташованих поруч.		從機械巢群竊取的戰時技術，使這種孵化加速器的技術落入了有機體之手。將其放置在任意機甲孵化器的相鄰位置，即可提升該孵化器的機甲孵化速度。														
ThingDef&APM_MechanoidContainer_Cluster.label	ancient mechanoid stasis container							古代机械体停滞容器				Древний контейнер стазиса мехов	давній контейнер стазису механоїда		古代機械體停滯容器														
ThingDef&APM_MechanoidContainer_Cluster.description	A heavy container equipped with autonomous activity-maintenance systems and archaic telemetry screens. Judging by the internal sensors, the mechanoid sealed inside was isolated from the hive mind immediately after its creation. The device is in deep preservation mode. Its mechanisms do not respond to external access codes, but the isolation saved the machine from forced deactivation. By breaking open this container, one can attempt to seize control of the forgotten mechanoid contained within.							一台重型容器，配备自主的活动维持系统与古旧的遥测屏幕。从内部传感器判断，封存其中的机械体在诞生之后便立即被从巢群意识中隔离。该装置处于深度保存模式，其机械结构不响应任何外部访问代码，但正是这种隔离使这台机器免于被强制停机。撬开这台容器，便可尝试夺取其中被遗忘的机械体的控制权。				Появляется в кластерах механоидов и содержит спящего механоида, которого поселенцы могут взломать и перепрограммировать.	Важкий контейнер, оснащений автономними системами підтримки діяльності та архаїчними телеметричними екранами. Судячи з внутрішніх датчиків, запечатаного всередині механоїда було ізольовано від роювого розуму одразу після створення. Пристрій перебуває в режимі глибокої консервації. Його механізми не реагують на зовнішні коди доступу, але ізоляція врятувала машину від примусового вимкнення. Розбивши цей контейнер, можна спробувати перехопити керування забутим механоїдом усередині.		一台重型容器，配備自主的活動維持系統與古舊的遙測螢幕。從內部感測器判斷，封存其中的機械體在誕生之後便立即被從巢群意識中隔離。該裝置處於深度保存模式，其機械結構不響應任何外部存取碼，但正是這種隔離使這台機器免於被強制停機。撬開這台容器，便可嘗試奪取其中被遺忘的機械體的控制權。														
ThingDef&APM_MechanoidContainer_Cluster.comps.0.jobString	hack container							破解容器				взломать контейнер	зламати контейнер		破解容器														
ThingDef&APM_MechanoidContainer_Player.label	mechanoid stasis container							机械体停滞容器				Контейнер стазиса мехов	контейнер стазису механоїда		機械體停滯容器														
ThingDef&APM_MechanoidContainer_Player.description	A specialized stasis container designed for the safe storage of mechanoids. Placing a mechanoid inside completely severs its active neural link with the mechanitor and puts its systems into deep suspended animation. In this state, the machine consumes no power and does not occupy the mechanitor's bandwidth, freeing up valuable network resources. The container allows you to keep an assault or worker squad in reserve, ready for deployment at a moment's notice without risking network overload.							一台专门用于安全存放机械体的静滞容器。将机械体放入其中，会彻底切断它与机械师之间的活动神经连接，并让其系统进入深度休眠状态。在此状态下，这台机器不消耗电力，也不占用机械师的带宽，从而释放宝贵的网络资源。有了这个容器，你可以把一支突击或作业小队留在备用状态，随时准备投入部署，而无需担心网络过载。				Контейнер стазиса механиторов. Позволяет хранить механоида без расхода пропускной способности и дополнительной энергии во время нахождения внутри.	Спеціалізований контейнер стазису, призначений для безпечного зберігання механоїдів. Поміщений усередину механоїд повністю втрачає активний нейронний зв'язок із механітором, а його системи переходять у режим глибокої консервації. У цьому стані машина не споживає енергії й не займає пропускну здатність механітора, вивільняючи цінні мережеві ресурси. Контейнер дозволяє тримати штурмову або робочу групу в резерві, готову до розгортання будь-якої миті, без ризику перевантаження мережі.		一台專門用於安全存放機械體的靜滯容器。將機械體放入其中，會徹底切斷它與機械師之間的活動神經連結，並讓其系統進入深度休眠狀態。在此狀態下，這台機器不消耗電力，也不占用機械師的頻寬，從而釋放寶貴的網絡資源。有了這個容器，你可以把一支突擊或作業小隊留在備用狀態，隨時準備投入部署，而無需擔心網絡過載。														
ThingDef&APM_MechanoidContainer_Player.comps.2.jobString	extract							取出				извлечь	витягти		取出														
ThingDef&APM_MechanoidContainer_Ancient.label	abandoned mechanoid stasis container							被遗弃的机械体停滞容器				Покинутый контейнер стазиса мехов	закинутий контейнер стазису механоїда		被遺棄的機械體停滯容器														
ThingDef&APM_MechanoidContainer_Ancient.description	A stasis container of human make, left running long enough that whoever built it is no longer around to say what is inside. The storage bay reads as occupied and the preservation cycle is still turning over on the last of its reserves. Breaking the seal will wake whatever is in there, and the neural link it once answered to is long dead, so a mechanitor should be able to claim it.							一台人类制造的静滞容器，运行得太久，久到建造它的人早已不在，无从说明里面装的是什么。存储舱显示为已被占用，而保存循环仍靠着最后的储备运转着。破开封印会唤醒里面的东西，而它曾经服从的那条神经连接早已死去，因此机械师应当能够认领它。				Контейнер стазиса человеческого производства, который работал так долго, что тот, кто его построил, уже не сможет сказать, что находится внутри. Отсек хранения значится как занятый, а цикл консервации всё ещё работает на последних резервах. Взлом печати разбудит то, что там находится, а нейронная связь, которой оно некогда подчинялось, давно мертва, так что механитор сможет забрать его себе.	Контейнер стазису людського виробництва, що пропрацював так довго, що той, хто його збудував, уже не може сказати, що всередині. Відсік зберігання показує «зайнято», а цикл консервації досі прокручується на рештках резервів. Злам печаті розбудить те, що там є, а нейронний зв'язок, якому воно колись підкорювалося, давно мертвий, тож механітор зможе забрати його собі.		一台人類製造的靜滯容器，運行得太久，久到建造它的人早已不在，無從說明裡面裝的是什麼。儲存艙顯示為已被占用，而保存循環仍靠著最後的儲備運轉著。破開封印會喚醒裡面的東西，而它曾經服從的那條神經連結早已死去，因此機械師應當能夠認領它。														
ThingDef&APM_MechanoidContainer_Ancient.comps.2.jobString	hack container							破解容器				взломать контейнер	зламати контейнер		破解容器														
ThingDef&APM_MechanoidContainer_Legacy_Lasher.comps.2.jobString	hack container							破解容器				взломать контейнер	зламати контейнер		破解容器														
ThingDef&APM_MechanoidContainer_Legacy_Vassal.comps.2.jobString	hack container							破解容器				взломать контейнер	зламати контейнер		破解容器														
ThingDef&APM_MechanoidContainer_Legacy_Tinker.comps.2.jobString	hack container							破解容器				взломать контейнер	зламати контейнер		破解容器														
ThingDef&APM_RepairStation_Small.label	mech repair station							机械修复工作站				Станция ремонта механоидов	ремонтна станція		機械修復工作站														
ThingDef&APM_RepairStation_Small.description	A station that repairs small and medium mechanoids. The mechanoid enters the station to undergo repairs.							一座用于修理小型与中型机械体的工作站。机械体需要进入站内接受修理。				Автоматическая станция для мелких и средних механоидов, постепенно ремонтирующая их со временем.	Станція, яка автоматично ремонтує малих і середніх механоїдів. Механоїд має зайти всередину станції, щоб пройти ремонт.		一座用於修理小型與中型機械體的工作站。機械體需要進入站內接受修理。														
